NUM_POSTE;NOM_USUEL;AAAAMMJJ;RR
75114001;PARIS-MONTSOURIS;20191113;4.8
75114001;PARIS-MONTSOURIS;20191114;3.8
75114001;PARIS-MONTSOURIS;20191115;17.0
75114001;PARIS-MONTSOURIS;20191116;0.0
75114001;PARIS-MONTSOURIS;20191117;0.0
75114001;PARIS-MONTSOURIS;20191118;1.6
75114001;PARIS-MONTSOURIS;20191119;0.0
75114001;PARIS-MONTSOURIS;20191120;0.0
75114001;PARIS-MONTSOURIS;20191121;0.4
75114001;PARIS-MONTSOURIS;20191122;3.2
75114001;PARIS-MONTSOURIS;20191123;2.2
75114001;PARIS-MONTSOURIS;20191124;0.0
75114001;PARIS-MONTSOURIS;20191125;0.2
75114001;PARIS-MONTSOURIS;20191126;12.3
75114001;PARIS-MONTSOURIS;20191127;1.2
75114001;PARIS-MONTSOURIS;20191128;0.2
75114001;PARIS-MONTSOURIS;20191129;0.6
75114001;PARIS-MONTSOURIS;20191130;2.4
75114001;PARIS-MONTSOURIS;20191201;0.4
75114001;PARIS-MONTSOURIS;20191202;0.2
75114001;PARIS-MONTSOURIS;20191203;0.0
75114001;PARIS-MONTSOURIS;20191204;0.0
75114001;PARIS-MONTSOURIS;20191205;0.0
75114001;PARIS-MONTSOURIS;20191206;2.6
75114001;PARIS-MONTSOURIS;20191207;0.0
75114001;PARIS-MONTSOURIS;20191208;12.3
75114001;PARIS-MONTSOURIS;20191209;6.2
75114001;PARIS-MONTSOURIS;20191210;2.2
75114001;PARIS-MONTSOURIS;20191211;1.0
75114001;PARIS-MONTSOURIS;20191212;14.3
75114001;PARIS-MONTSOURIS;20191213;2.4
75114001;PARIS-MONTSOURIS;20191214;2.2
75114001;PARIS-MONTSOURIS;20191215;4.6
75114001;PARIS-MONTSOURIS;20191216;4.5
75114001;PARIS-MONTSOURIS;20191217;0.2
75114001;PARIS-MONTSOURIS;20191218;0.0
75114001;PARIS-MONTSOURIS;20191219;12.7
75114001;PARIS-MONTSOURIS;20191220;2.0
75114001;PARIS-MONTSOURIS;20191221;6.2
75114001;PARIS-MONTSOURIS;20191222;0.4
75114001;PARIS-MONTSOURIS;20191223;3.6
75114001;PARIS-MONTSOURIS;20191224;0.0
75114001;PARIS-MONTSOURIS;20191225;0.0
75114001;PARIS-MONTSOURIS;20191226;8.6
75114001;PARIS-MONTSOURIS;20191227;0.0
75114001;PARIS-MONTSOURIS;20191228;0.0
75114001;PARIS-MONTSOURIS;20191229;0.0
75114001;PARIS-MONTSOURIS;20191230;0.0
75114001;PARIS-MONTSOURIS;20191231;0.0
75114001;PARIS-MONTSOURIS;20200101;1.2
75114001;PARIS-MONTSOURIS;20200102;0.4
75114001;PARIS-MONTSOURIS;20200103;0.2
75114001;PARIS-MONTSOURIS;20200104;0.0
75114001;PARIS-MONTSOURIS;20200105;0.0
75114001;PARIS-MONTSOURIS;20200106;0.0
75114001;PARIS-MONTSOURIS;20200107;0.0
75114001;PARIS-MONTSOURIS;20200108;0.6
75114001;PARIS-MONTSOURIS;20200109;4.2
75114001;PARIS-MONTSOURIS;20200110;0.0
75114001;PARIS-MONTSOURIS;20200111;0.0
75114001;PARIS-MONTSOURIS;20200112;0.0
75114001;PARIS-MONTSOURIS;20200113;0.2
75114001;PARIS-MONTSOURIS;20200114;0.0
75114001;PARIS-MONTSOURIS;20200115;1.2
75114001;PARIS-MONTSOURIS;20200116;1.4
75114001;PARIS-MONTSOURIS;20200117;0.8
75114001;PARIS-MONTSOURIS;20200118;0.0
75114001;PARIS-MONTSOURIS;20200119;0.0
75114001;PARIS-MONTSOURIS;20200120;0.0
75114001;PARIS-MONTSOURIS;20200121;0.0
75114001;PARIS-MONTSOURIS;20200122;0.0
75114001;PARIS-MONTSOURIS;20200123;0.0
75114001;PARIS-MONTSOURIS;20200124;0.0
75114001;PARIS-MONTSOURIS;20200125;0.0
75114001;PARIS-MONTSOURIS;20200126;3.8
75114001;PARIS-MONTSOURIS;20200127;6.2
75114001;PARIS-MONTSOURIS;20200128;1.6
75114001;PARIS-MONTSOURIS;20200129;0.0
75114001;PARIS-MONTSOURIS;20200130;2.8
75114001;PARIS-MONTSOURIS;20200131;3.8
75114001;PARIS-MONTSOURIS;20200201;10.5
75114001;PARIS-MONTSOURIS;20200202;11.8
75114001;PARIS-MONTSOURIS;20200203;8.3
75114001;PARIS-MONTSOURIS;20200204;0.4
75114001;PARIS-MONTSOURIS;20200205;0.0
75114001;PARIS-MONTSOURIS;20200206;0.0
75114001;PARIS-MONTSOURIS;20200207;0.0
75114001;PARIS-MONTSOURIS;20200208;2.4
75114001;PARIS-MONTSOURIS;20200209;2.0
75114001;PARIS-MONTSOURIS;20200210;9.3
75114001;PARIS-MONTSOURIS;20200211;2.0
75114001;PARIS-MONTSOURIS;20200212;0.0
75114001;PARIS-MONTSOURIS;20200213;2.4
75114001;PARIS-MONTSOURIS;20200214;0.0
75114001;PARIS-MONTSOURIS;20200215;0.6
75114001;PARIS-MONTSOURIS;20200216;6.8
75114001;PARIS-MONTSOURIS;20200217;0.2
75114001;PARIS-MONTSOURIS;20200218;5.2
75114001;PARIS-MONTSOURIS;20200219;0.4
75114001;PARIS-MONTSOURIS;20200220;2.6
75114001;PARIS-MONTSOURIS;20200221;0.0
75114001;PARIS-MONTSOURIS;20200222;0.0
75114001;PARIS-MONTSOURIS;20200223;0.4
75114001;PARIS-MONTSOURIS;20200224;4.0
75114001;PARIS-MONTSOURIS;20200225;2.0
75114001;PARIS-MONTSOURIS;20200226;6.4
75114001;PARIS-MONTSOURIS;20200227;8.1
75114001;PARIS-MONTSOURIS;20200228;0.0
75114001;PARIS-MONTSOURIS;20200229;5.1
75114001;PARIS-MONTSOURIS;20200301;21.0
75114001;PARIS-MONTSOURIS;20200302;4.8
75114001;PARIS-MONTSOURIS;20200303;0.0
75114001;PARIS-MONTSOURIS;20200304;5.2
75114001;PARIS-MONTSOURIS;20200305;15.2
75114001;PARIS-MONTSOURIS;20200306;0.0
75114001;PARIS-MONTSOURIS;20200307;0.0
75114001;PARIS-MONTSOURIS;20200308;3.8
75114001;PARIS-MONTSOURIS;20200309;3.2
75114001;PARIS-MONTSOURIS;20200310;0.0
75114001;PARIS-MONTSOURIS;20200311;1.4
75114001;PARIS-MONTSOURIS;20200312;0.6
75114001;PARIS-MONTSOURIS;20200313;0.0
75114001;PARIS-MONTSOURIS;20200314;1.0
75114001;PARIS-MONTSOURIS;20200315;0.0
75114001;PARIS-MONTSOURIS;20200316;0.0
75114001;PARIS-MONTSOURIS;20200317;0.0
75114001;PARIS-MONTSOURIS;20200318;0.0
75114001;PARIS-MONTSOURIS;20200319;0.0
75114001;PARIS-MONTSOURIS;20200320;0.0
75114001;PARIS-MONTSOURIS;20200321;0.0
75114001;PARIS-MONTSOURIS;20200322;0.0
75114001;PARIS-MONTSOURIS;20200323;0.0
75114001;PARIS-MONTSOURIS;20200324;0.0
75114001;PARIS-MONTSOURIS;20200325;0.0
75114001;PARIS-MONTSOURIS;20200326;0.0
75114001;PARIS-MONTSOURIS;20200327;0.0
75114001;PARIS-MONTSOURIS;20200328;0.0
75114001;PARIS-MONTSOURIS;20200329;0.0
75114001;PARIS-MONTSOURIS;20200330;0.0
75114001;PARIS-MONTSOURIS;20200331;0.0
75114001;PARIS-MONTSOURIS;20200401;0.0
75114001;PARIS-MONTSOURIS;20200402;0.0
75114001;PARIS-MONTSOURIS;20200403;0.0
75114001;PARIS-MONTSOURIS;20200404;0.0
75114001;PARIS-MONTSOURIS;20200405;0.0
75114001;PARIS-MONTSOURIS;20200406;2.6
75114001;PARIS-MONTSOURIS;20200407;0.0
75114001;PARIS-MONTSOURIS;20200408;0.0
75114001;PARIS-MONTSOURIS;20200409;0.0
75114001;PARIS-MONTSOURIS;20200410;0.0
75114001;PARIS-MONTSOURIS;20200411;0.0
75114001;PARIS-MONTSOURIS;20200412;1.2
75114001;PARIS-MONTSOURIS;20200413;0.0
75114001;PARIS-MONTSOURIS;20200414;0.0
75114001;PARIS-MONTSOURIS;20200415;0.0
75114001;PARIS-MONTSOURIS;20200416;0.0
75114001;PARIS-MONTSOURIS;20200417;0.0
75114001;PARIS-MONTSOURIS;20200418;0.6
75114001;PARIS-MONTSOURIS;20200419;0.0
75114001;PARIS-MONTSOURIS;20200420;0.0
75114001;PARIS-MONTSOURIS;20200421;0.0
75114001;PARIS-MONTSOURIS;20200422;0.0
75114001;PARIS-MONTSOURIS;20200423;0.0
75114001;PARIS-MONTSOURIS;20200424;0.0
75114001;PARIS-MONTSOURIS;20200425;0.0
75114001;PARIS-MONTSOURIS;20200426;0.0
75114001;PARIS-MONTSOURIS;20200427;3.4
75114001;PARIS-MONTSOURIS;20200428;3.5
75114001;PARIS-MONTSOURIS;20200429;9.3
75114001;PARIS-MONTSOURIS;20200430;8.9
75114001;PARIS-MONTSOURIS;20200501;0.6
75114001;PARIS-MONTSOURIS;20200502;0.0
75114001;PARIS-MONTSOURIS;20200503;0.0
75114001;PARIS-MONTSOURIS;20200504;0.0
75114001;PARIS-MONTSOURIS;20200505;1.8
75114001;PARIS-MONTSOURIS;20200506;0.0
75114001;PARIS-MONTSOURIS;20200507;0.0
75114001;PARIS-MONTSOURIS;20200508;0.0
75114001;PARIS-MONTSOURIS;20200509;35.6
75114001;PARIS-MONTSOURIS;20200510;15.2
75114001;PARIS-MONTSOURIS;20200511;0.0
75114001;PARIS-MONTSOURIS;20200512;0.0
75114001;PARIS-MONTSOURIS;20200513;0.0
75114001;PARIS-MONTSOURIS;20200514;0.0
75114001;PARIS-MONTSOURIS;20200515;0.0
75114001;PARIS-MONTSOURIS;20200516;0.0
75114001;PARIS-MONTSOURIS;20200517;0.0
75114001;PARIS-MONTSOURIS;20200518;0.0
75114001;PARIS-MONTSOURIS;20200519;0.0
75114001;PARIS-MONTSOURIS;20200520;0.0
75114001;PARIS-MONTSOURIS;20200521;0.0
75114001;PARIS-MONTSOURIS;20200522;3.6
75114001;PARIS-MONTSOURIS;20200523;0.4
75114001;PARIS-MONTSOURIS;20200524;0.0
75114001;PARIS-MONTSOURIS;20200525;0.0
75114001;PARIS-MONTSOURIS;20200526;0.0
75114001;PARIS-MONTSOURIS;20200527;0.0
75114001;PARIS-MONTSOURIS;20200528;0.0
75114001;PARIS-MONTSOURIS;20200529;0.0
75114001;PARIS-MONTSOURIS;20200530;0.0
75114001;PARIS-MONTSOURIS;20200531;0.0
75114001;PARIS-MONTSOURIS;20200601;0.0
75114001;PARIS-MONTSOURIS;20200602;0.0
75114001;PARIS-MONTSOURIS;20200603;28.8
75114001;PARIS-MONTSOURIS;20200604;3.4
75114001;PARIS-MONTSOURIS;20200605;1.4
75114001;PARIS-MONTSOURIS;20200606;0.0
75114001;PARIS-MONTSOURIS;20200607;0.0
75114001;PARIS-MONTSOURIS;20200608;0.0
75114001;PARIS-MONTSOURIS;20200609;0.0
75114001;PARIS-MONTSOURIS;20200610;0.4
75114001;PARIS-MONTSOURIS;20200611;8.2
